URI,wareki,year
nij02-nijl_nijl_nijl_azumakagami_0000018302,建暦元年十二月二十五日,C.E. 1212-01-30
nij02-nijl_nijl_nijl_azumakagami_0000000128,序小見出名なし,
nij02-nijl_nijl_nijl_azumakagami_0000020709,承久元年七月十九日,C.E. 1219-08-30
nij02-nijl_nijl_nijl_azumakagami_0000005791,文治二年四月八日,C.E. 1186-04-28
nij02-nijl_nijl_nijl_azumakagami_0000014138,建久六年正月三日,C.E. 1195-02-14
nij02-nijl_nijl_nijl_azumakagami_0000015153,正治元年十月二十七日,C.E. 1199-11-17
nij02-nijl_nijl_nijl_azumakagami_0000037914,文応二年正月二十六日,C.E. 1261-02-26
nij02-nijl_nijl_nijl_azumakagami_0000013600,建久五年二月二日,C.E. 1194-02-24
nij02-nijl_nijl_nijl_azumakagami_0000031273,建長三年正月十一日,C.E. 1251-02-03
nij02-nijl_nijl_nijl_azumakagami_0000021258,承久三年六月十七日,C.E. 1221-07-08
nij02-nijl_nijl_nijl_azumakagami_0000005953,文治二年五月十八日,C.E. 1186-06-07
nij02-nijl_nijl_nijl_azumakagami_0000025595,嘉禎四年三月七日,C.E. 1238-04-22
nij02-nijl_nijl_nijl_azumakagami_0000014788,建久六年十月一日,C.E. 1195-11-04
nij02-nijl_nijl_nijl_azumakagami_0000000645,治承四年八月二十五日,C.E. 1180-09-16
nij02-nijl_nijl_nijl_azumakagami_0000022517,安貞三年正月七日,C.E. 1229-02-02
nij02-nijl_nijl_nijl_azumakagami_0000028380,寛元三年三月十六日,C.E. 1245-04-14
nij02-nijl_nijl_nijl_azumakagami_0000000118,序小見出名なし,
nij02-nijl_nijl_nijl_azumakagami_0000036356,正嘉二年六月十一日,C.E. 1258-07-13
nij02-nijl_nijl_nijl_azumakagami_0000004781,文治元年十月二十七日,C.E. 1185-11-20
nij02-nijl_nijl_nijl_azumakagami_0000043084,補遺・寛元元年十二月二十四日,
nij02-nijl_nijl_nijl_azumakagami_0000006928,文治三年四月二十三日,C.E. 1187-06-01
nij02-nijl_nijl_nijl_azumakagami_0000031773,建長三年十月十九日,C.E. 1251-12-03
nij02-nijl_nijl_nijl_azumakagami_0000019934,建保四年閏六月十四日,C.E. 1216-07-30
nij02-nijl_nijl_nijl_azumakagami_0000041330,補遺・嘉禄二年八月七日,
nij02-nijl_nijl_nijl_azumakagami_0000042874,補遺・延応二年二月二十二日,
nij02-nijl_nijl_nijl_azumakagami_0000007977,文治四年四月十二日,C.E. 1188-05-10
nij02-nijl_nijl_nijl_azumakagami_0000010158,文治六年二月十一日,C.E. 1190-03-18
nij02-nijl_nijl_nijl_azumakagami_0000005840,文治二年四月二十一日,C.E. 1186-05-11
nij02-nijl_nijl_nijl_azumakagami_0000036729,正元二年正月一日,C.E. 1260-02-13
nij02-nijl_nijl_nijl_azumakagami_0000038448,弘長元年八月十四日,C.E. 1261-09-10
nij02-nijl_nijl_nijl_azumakagami_0000024281,嘉禎元年十二月二十一日,C.E. 1236-01-30
nij02-nijl_nijl_nijl_azumakagami_0000014644,建久六年七月九日,C.E. 1195-08-15
nij02-nijl_nijl_nijl_azumakagami_0000016585,建仁三年十月十四日,C.E. 1203-11-19
nij02-nijl_nijl_nijl_azumakagami_0000028377,寛元三年三月十六日,C.E. 1245-04-14
nij02-nijl_nijl_nijl_azumakagami_0000025882,嘉禎四年十月十八日,C.E. 1238-11-25
